name,style,abv,ibu,brewery,country,calories,serving_size,description,discription
Lagunitas IPA,IPA,6.2,51.5,Lagunitas Brewing Company,USA,180,12 oz,A well-rounded, highly drinkable IPA.
Sierra Nevada Pale Ale,Pale Ale,5.6,38,Sierra Nevada Brewing Co.,USA,175,12 oz,A classic pale ale with a deep amber color.
Guinness Draught,Stout,4.2,45,Guinness, Ireland,125,12 oz,A smooth and creamy stout with a rich flavor.
Blue Moon,White Ale,5.4,9,Blue Moon Brewing Co.,USA,170,12 oz,A Belgian-style wheat ale with a hint of orange.
Heineken,Lager,5.0,19,Heineken,Netherlands,150,12 oz,A well-known lager with a crisp, clean taste.
Samuel Adams Boston Lager,Lager,5.0,30,Boston Beer Company,USA,175,12 oz,A full-flavored lager with a rich amber color.
Dogfish Head 90 Minute IPA,IPA,9.0,90,Dogfish Head Brewery,USA,294,12 oz,A strong IPA with a bold, hoppy flavor.
Stone IPA,IPA,6.9,77,Stone Brewing,USA,210,12 oz,A hop-forward IPA with a citrusy aroma.
Budweiser,Lager,5.0,12,Anheuser-Busch,USA,145,12 oz,A classic American lager with a smooth taste.
Coors Light,Lager,4.2,10,Coors Brewing Company,USA,102,12 oz,A light lager with a crisp, refreshing taste.
Miller Lite,Lager,4.2,10,Miller Brewing Company,USA,96,12 oz,A light lager with a smooth, clean finish.
Corona Extra,Lager,4.6,19,Grupo Modelo,Mexico,148,12 oz,A light, refreshing lager with a hint of lime.
New Belgium Fat Tire,Amber Ale,5.2,22,New Belgium Brewing Company,USA,160,12 oz,A balanced amber ale with a toasty, biscuit-like malt flavor.
Pabst Blue Ribbon,Lager,4.8,10,Pabst Brewing Company,USA,144,12 oz,A classic American lager with a smooth, crisp taste.
Yuengling Traditional Lager,Lager,4.5,12, Yuengling Brewery,USA,140,12 oz,A rich, amber lager with a well-balanced flavor.
Dos Equis Lager,Lager,4.2,10,Cervecería Cuauhtémoc Moctezuma,Mexico,131,12 oz,A light, smooth lager with a hint of malt.
Modelo Especial,Lager,4.4,18,Grupo Modelo,Mexico,144,12 oz,A rich, full-flavored lager with a crisp finish.
Stella Artois,Lager,5.0,24,Stella Artois,Belgium,154,12 oz,A premium lager with a slightly bitter taste.
Beck's,Lager,5.0,20,Brauerei Beck & Co.,Germany,143,12 oz,A German lager with a distinctive, full-bodied taste.
Amstel Light,Lager,3.5,20,Amstel Brewery,Netherlands,95,12 oz,A light lager with a smooth, refreshing taste.